Id,Descripcion,Marca,Precio Publicado,CC,Promociones,Precio Por Litro,Observaciones,Total Pack,Precio por Lata
1,Cerveza blanca Stella Artois lata 269 cc. x 10 uni ,Stella Artois,$ 452.4,269.0,40% off Max 6 unidades,$ 1681.78,El precio es por Pack,10,$ 45.24
2,Cerveza rubia Andes Origen 6 x 473 cc. ,Andes,$ 448.13,473.0,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,$ 947.42,El precio es por Pack,6,$ 74.69
3,Cerveza Stella Artois blanca lata 6 uni x 473 cc. ,Stella Artois,$ 796.0,473.0,No tiene promociones,$ 1682.88,El precio es por Pack,6,$ 132.67
4,Cerveza rubia Andes IPA 6 X 473 cc. ,Andes,$ 487.5,473.0,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,$ 1030.66,El precio es por Pack,6,$ 81.25
5,Cerveza rubia Corona 330 cc. ,Corona,$ 89.27,330.0,3x2 Max 24 unidades  Iguales,$ 270.52,El precio es por Lata,No tiene Pack,$ 89.27
6,Cerveza roja Andes Origen 6 x 473 cc. ,Andes,$ 511.5,473.0,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,$ 1081.4,El precio es por Pack,6,$ 85.25
7,Cerveza rubia Corona 710 cc. ,Corona,$ 153.7,710.0,3x2 Max 24 unidades  Iguales,$ 216.48,El precio es por Lata,No tiene Pack,$ 153.7
8,Cerveza negra Quilmes stout 6 x 473 cc. ,Quilmes,$ 471.4,473.0,No tiene promociones,$ 996.62,El precio es por Pack,6,$ 78.57
9,Cerveza rubia 1890 6 x 473 cc. ,1890,$ 471.4,473.0,No tiene promociones,$ 996.62,El precio es por Pack,6,$ 78.57
10,Cerveza rubia Quilmes 473 cc. ,Quilmes,$ 94.8,473.0,No tiene promociones,$ 200.42,El precio es por Lata,No tiene Pack,$ 94.8
11,Cerveza blanca Amstel lager lata 473 cc. ,Amstel,$ 69.33,473.0,3x2 Max 12 unidades Iguales,$ 146.58,El precio es por Lata,No tiene Pack,$ 69.33
12,Cerveza rubia Heineken 473 cc. ,Heineken,$ 163.8,473.0,No tiene promociones,$ 346.3,El precio es por Lata,No tiene Pack,$ 163.8
13,Cerveza rubia Imperial golden 473 cc. ,Imperial,$ 96.75,473.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 204.55,El precio es por Lata,No tiene Pack,$ 96.75
14,Cerveza roja Andes Origen retornable 340 cc. ,Andes,$ 48.22,340.0,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,$ 141.82,El precio es por Lata,No tiene Pack,$ 48.22
15,Cerveza roja Patagonia amber lager 6 x 473 cc. ,Patagonia,$ 1007.0,473.0,No tiene promociones,$ 2128.96,El precio es por Pack,6,$ 167.83
16,Cerveza rubia Schneider 473 cc. ,Schneider,$ 99.0,473.0,No tiene promociones,$ 209.3,El precio es por Lata,No tiene Pack,$ 99.0
17,Cerveza rubia Stella Artois 975 cc. ,Stella Artois,$ 251.2,975.0,No tiene promociones,$ 257.64,El precio es por Lata,No tiene Pack,$ 251.2
18,Cerveza rubia Andes origen ipa 340 cc. ,Andes,$ 48.22,340.0,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,$ 141.82,El precio es por Lata,No tiene Pack,$ 48.22
19,Cerveza rubia Quilmes clásica 1 l. ,Quilmes,$ 131.85,1000.0,No tiene promociones,$ 131.85,El precio es por Lata,No tiene Pack,$ 131.85
20,Cerveza rubia Patagonia IPA 6 x 473 cc. ,Patagonia,$ 1007.0,473.0,No tiene promociones,$ 2128.96,El precio es por Pack,6,$ 167.83
21,Cerveza roja Patagonia amber lager 730 cc. ,Patagonia,$ 264.3,730.0,No tiene promociones,$ 362.05,El precio es por Lata,No tiene Pack,$ 264.3
22,Cerveza negra Stella Artois noire 473 cc. 6 u. ,Stella Artois,$ 796.0,473.0,No tiene promociones,$ 1682.88,El precio es por Pack,6,$ 132.67
23,Cerveza rubia Heineken 710 cc. ,Heineken,$ 234.0,710.0,No tiene promociones,$ 329.58,El precio es por Lata,No tiene Pack,$ 234.0
24,Cerveza rubia Imperial 473 cc. ,Imperial,$ 96.45,473.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 203.91,El precio es por Lata,No tiene Pack,$ 96.45
25,Cerveza rubia Patagonia 24.7 IPA con sauco 730 cc. ,Patagonia,$ 264.3,730.0,No tiene promociones,$ 362.05,El precio es por Lata,No tiene Pack,$ 264.3
